iter	Passed	Remaining
0	48	48358
1	49	24805
2	51	16984
3	52	13102
4	53	10724
5	55	9144
6	56	8007
7	57	7189
8	59	6518
9	60	5997
10	61	5564
11	63	5193
12	64	4887
13	65	4626
14	67	4407
15	68	4207
16	69	4016
17	70	3853
18	71	3717
19	73	3587
20	74	3468
21	75	3353
22	76	3245
23	77	3153
24	78	3065
25	79	2982
26	80	2910
27	81	2840
28	82	2776
29	83	2714
30	85	2659
31	86	2602
32	87	2549
33	88	2506
34	89	2469
35	90	2429
36	92	2396
37	93	2369
38	94	2334
39	96	2304
40	97	2273
41	98	2247
42	99	2221
43	101	2197
44	102	2171
45	103	2146
46	105	2130
47	106	2108
48	107	2087
49	108	2067
50	110	2049
51	111	2029
52	112	2009
53	113	1989
54	114	1970
55	115	1952
56	116	1934
57	117	1913
58	118	1896
59	119	1879
60	121	1862
61	122	1845
62	123	1831
63	124	1818
64	125	1809
65	127	1798
66	128	1783
67	129	1770
68	130	1755
69	131	1740
70	132	1727
71	133	1715
72	134	1701
73	135	1690
74	136	1679
75	137	1667
76	138	1662
77	139	1652
78	140	1642
79	141	1632
80	143	1622
81	144	1613
82	144	1598
83	146	1592
84	147	1584
85	148	1577
86	149	1569
87	150	1561
88	151	1554
89	152	1546
90	154	1538
91	155	1530
92	156	1522
93	157	1515
94	158	1508
95	159	1501
96	160	1496
97	161	1490
98	162	1483
99	164	1476
100	165	1469
101	166	1463
102	167	1459
103	168	1452
104	170	1453
105	171	1447
106	172	1441
107	173	1435
108	174	1428
109	175	1423
110	177	1418
111	178	1412
112	179	1411
113	180	1406
114	181	1399
115	182	1393
116	183	1385
117	184	1378
118	185	1372
119	186	1367
120	187	1361
121	188	1354
122	189	1349
123	190	1343
124	191	1337
125	192	1333
126	192	1326
127	193	1320
128	194	1314
129	195	1309
130	196	1304
131	197	1298
132	198	1294
133	199	1290
134	200	1285
135	201	1280
136	202	1276
137	203	1272
138	204	1267
139	205	1262
140	206	1257
141	206	1250
142	207	1245
143	208	1240
144	209	1236
145	210	1232
146	211	1228
147	212	1222
148	213	1218
149	214	1213
150	215	1209
151	216	1205
152	216	1200
153	217	1194
154	218	1189
155	219	1185
156	219	1180
157	220	1177
158	221	1172
159	222	1168
160	222	1161
161	223	1157
162	224	1152
163	225	1148
164	226	1143
165	226	1139
166	227	1134
167	228	1129
168	228	1124
169	229	1119
170	230	1115
171	230	1110
172	231	1105
173	231	1100
174	232	1095
175	232	1090
176	233	1085
177	233	1080
178	234	1074
179	234	1070
180	235	1065
181	235	1060
182	236	1055
183	236	1050
184	237	1045
185	237	1041
186	238	1036
187	238	1031
188	239	1026
189	239	1021
190	240	1017
191	240	1012
192	240	1007
193	241	1002
194	241	998
195	242	993
196	242	988
197	242	984
198	243	979
199	243	974
200	244	970
201	244	965
202	244	961
203	245	957
204	245	952
205	246	948
206	246	943
207	246	939
208	247	935
209	247	930
210	247	926
211	248	922
212	248	918
213	248	913
214	249	909
215	249	905
216	249	901
217	250	897
218	250	892
219	250	888
220	251	884
221	251	881
222	251	877
223	252	873
224	252	869
225	252	865
226	253	861
227	253	858
228	253	854
229	254	850
230	254	846
231	254	842
232	254	839
233	255	835
234	255	832
235	255	828
236	256	825
237	256	821
238	257	818
239	257	815
240	257	811
241	258	808
242	258	804
243	258	801
244	259	798
245	259	795
246	259	791
247	260	788
248	260	785
249	260	782
250	261	778
251	261	775
252	261	772
253	261	769
254	262	766
255	262	763
256	263	760
257	263	757
258	263	754
259	264	751
260	264	748
261	264	745
262	265	742
263	265	739
264	265	736
265	266	734
266	266	731
267	266	728
268	266	725
269	267	722
270	267	720
271	268	717
272	268	714
273	268	712
274	269	709
275	269	706
276	269	704
277	270	701
278	270	698
279	270	696
